MATRICOLA,COGNOME,NOME,CITTADINANZA,EMAIL,COD.INS.CREDITI,CDS STUDENTE,FREQUENZA,ESAME,VOTO ESAME,ATHOME,SDSS,INFO MOBILITA,STUDENTE ALL'ESTERO,INS IN L.A.,ANNO ISCRIZ.,CONDIZIONE
367624,D'IPPOLITO,FRANCESCO,ITALIANA,s373269@studenti.polito.it,14BHDYO (8),MEC1T1,Da frequentare (puÃ² sost. esami),,,,,,N,N,2026/27,IMMATRICOLAZIONE DA COMPLETARE,
365363,D'OVIDIO,CARLOTTA,ITALIANA,s250762@studenti.polito.it,14BHDYI (8),ELT1T1,Da frequentare (puÃ² sost. esami),,,,,,N,N,2024/25,ATTIVO,
371360,DI PASCALE,CLAUDIO,ITALIANA,s371086@studenti.polito.it,14BHDYE (8),INF1T3,Da frequentare (puÃ² sost. esami),,,,,,N,N,2026/27,ATTIVO,
372193,DI PRIMA,FRANCESCO,ITALIANA,s372308@studenti.polito.it,14BHDYE (8),MTM1T1,Da frequentare (puÃ² sost. esami),,,,,,N,N,2025/26,ATTIVO,
369063,DI RUZZA,MARTINA,MAROCCHINA,s371161@studenti.polito.it,14BHDYE (8),INF1T3,Non attivo,,,,,,N,N,2025/26,ATTIVO,
370932,DI SANTI,EMANUELE,ITALIANA,s341372@studenti.polito.it,14BHDXT (8),MEC1T1,Da frequentare (puÃ² sost. esami),,,,,,N,N,2026/27,ATTIVO,
371815,DI SARIO,GINEVRA,ITALIANA,s356551@studenti.polito.it,14BHDYI (8),INF1T3,Da frequentare (puÃ² sost. esami),,,,,,N,N,2026/27,ATTIVO,
369144,DI SARRA,FRANCESCA,ITALIANA,s341027@studenti.polito.it,14BHDYO (8),MEC1T1,Da frequentare (puÃ² sost. esami),,,,,,N,N,2026/27,ATTIVO,
314451,DI STEFANO,AURORA,ITALIANA,s369343@studenti.polito.it,14BHDYO (8),MEC1T1,Frequenza convalidata,,,,,,N,N,2026/27,ATTIVO,
365059,DI TOMMASO,EMANUELE,ITALIANA,s358085@studenti.polito.it,14BHDYE (8),INF1T3,Da frequentare (puÃ² sost. esami),,,,,,N,N,2026/27,ATTIVO,
373190,DI TONNO,MATTEO,ITALIANA,s328386@studenti.polito.it,14BHDYI (8),INF1T3,Da frequentare (puÃ² sost. esami),,,,,,N,N,2025/26,ATTIVO,
372000,DI VITA,MARCO,ITALIANA,s373806@studenti.polito.it,14BHDYO (8),INF1T3,Da frequentare (puÃ² sost. esami),,,,,,N,N,2026/27,ATTIVO,
372547,DI ZIO,SAMUELE,EGIZIANA,s365454@studenti.polito.it,14BHDMN (8),INF1T3,Frequentato nel 2025/2026,,,,,,N,N,2026/27,ATTIVO,
356532,DIPASQUALE,ALESSIA,ITALIANA,s371809@studenti.polito.it,14BHDYO (8),MEC1T1,Da frequentare (puÃ² sost. esami),,,,,,N,N,2026/27,ATTIVO,
353936,DISALVO,SOFIA,ITALIANA,s367885@studenti.polito.it,14BHDYI (8),INF1T3,Frequentato nel 2024/2025,,,,,,N,N,2026/27,ATTIVO,
373947,DISCARO,ALICE,ITALIANA,s367653@studenti.polito.it,14BHDXD (8),MTM1T1,Non attivo,,,,,,N,N,2026/27,ATTIVO,
366409,DISTRATIS,GRETA,ITALIANA,s325738@studenti.polito.it,14BHDMB (8),MEC1T1,Frequentato nel 2025/2026,,,,,,N,N,2026/27,ATTIVO,
327378,DOBROZI,STEFAN,ITALIANA,s367878@studenti.polito.it,14BHDXT (8),INF1T3,Da frequentare (puÃ² sost. esami),,,,,,N,N,2026/27,ATTIVO,
367031,DOLCEMASCOLO,MATTEO,ITALIANA,s368955@studenti.polito.it,14BHDLX (8),ELT1T1,Frequentato nel 2025/2026,,,,,,N,N,2024/25,ATTIVO,
367669,DOMINGUEZ SOCEA,MATTEO,ITALIANA,s368227@studenti.polito.it,14BHDYE (8),INF1T3,Frequentato nel 2024/2025,,,,,,N,N,2026/27,ATTIVO,
356477,DOMINICI,ANDREA,ITALIANA,s369315@studenti.polito.it,14BHDYI (8),INF1T3,Da frequentare (puÃ² sost. esami),,,,,,N,N,2026/27,ATTIVO,
367524,DOMINICI,DAVIDE,ITALIANA,s371615@studenti.polito.it,14BHDYE (8),MTM1T1,Frequenza convalidata,,,,,,N,N,2026/27,ATTIVO,
372444,DONATELLI,GIUSEPPE,ITALIANA,s367565@studenti.polito.it,14BHDXT (8),ELT1T1,Frequentato nel 2024/2025,,,,,,N,N,2026/27,ATTIVO,
355592,DONATIELLO,ROSARIO,ITALIANA,s372528@studenti.polito.it,14BHDYE (8),MTM1T1,Da frequentare (puÃ² sost. esami),,,,,,N,N,2026/27,ATTIVO,
374136,DORIA,CLARA,ITALIANA,s368698@studenti.polito.it,14BHDYI (8),INF1T3,Da frequentare (puÃ² sost. esami),,,,,,N,N,2026/27,ATTIVO,
371292,DOTTO,HAMZA,RUMENA,s367946@studenti.polito.it,14BHDYE (8),MEC1T1,Frequentato nel 2025/2026,,,,,,N,N,2025/26,ATTIVO,
356317,DRAGO,MICHELE,ITALIANA,s365892@studenti.polito.it,14BHDLX (8),MTM1T1,Da frequentare (puÃ² sost. esami),,,,,,N,N,2026/27,ATTIVO,
351793,DRAGO,SOFIA,ITALIANA,s372408@studenti.polito.it,14BHDYO (8),ELT1T1,Frequentato nel 2024/2025,,,,,,N,N,2023/24,ATTIVO,
374362,DRAGONE,CLAUDIO,ITALIANA,s374160@studenti.polito.it,14BHDMB (8),MEC1T1,Da frequentare (puÃ² sost. esami),,,,,,N,N,2026/27,ATTIVO,
325299,DRAGONI,EFE,ITALIANA,s358304@studenti.polito.it,14BHDYO (8),MTM1T1,Frequentato nel 2024/2025,,,,,,N,N,2026/27,ATTIVO,
373236,DROCCO,MATTEO,ITALIANA,s370931@studenti.polito.it,14BHDMN (8),MEC1T1,Da frequentare (puÃ² sost. esami),,,,,,N,N,2025/26,ATTIVO,
343499,DU,MOHAMED IBRAHIM EID MOHAMED,ITALIANA,s369144@studenti.polito.it,14BHDYE (8),MTM1T1,Da frequentare (puÃ² sost. esami),,,,,,N,N,2026/27,ATTIVO,
352797,DUMITRUT,DAVIDE,ITALIANA,s368723@studenti.polito.it,14BHDYE (8),INF1T3,Da frequentare (puÃ² sost. esami),,,,,,N,N,2026/27,ATTIVO,
357415,DURRA,LORENZO,ITALIANA,s367524@studenti.polito.it,14BHDYE (8),INF1T3,Frequentato nel 2025/2026,,,,,,N,N,2026/27,ATTIVO,
368696,DUTTO,ANTONIO,ITALIANA,s370067@studenti.polito.it,14BHDXT (8),MEC1T1,Da frequentare (puÃ² sost. esami),,,,,,N,N,2026/27,ATTIVO,
343502,EHIGIATOR,MATTEO,ITALIANA,s365585@studenti.polito.it,14BHDYI (8),INF1T3,Da frequentare (puÃ² sost. esami),,,,,,N,N,2026/27,ATTIVO,
355858,EL AFFARI,GIOELE ROBERTO,ITALIANA,s368421@studenti.polito.it,14BHDYO (8),ELT1T1,Da frequentare (puÃ² sost. esami),,,,,,N,N,2026/27,ATTIVO,
327268,EL AINE,FRANCESCA,ITALIANA,s368078@studenti.polito.it,14BHDXT (8),MTM1T1,Da frequentare (puÃ² sost. esami),,,,,,N,N,2023/24,ATTIVO,
369126,EL ASSAD,LORENZO,ITALIANA,s358241@studenti.polito.it,14BHDYO (8),MEC1T1,Da frequentare (puÃ² sost. esami),,,,,,N,N,2025/26,ATTIVO,
369768,EL ASSL,CARLA MARIA,ITALIANA,s372184@studenti.polito.it,14BHDLX (8),MEC1T1,Da frequentare (puÃ² sost. esami),,,,,,N,N,2025/26,ATTIVO,
373607,EL BRINI,LUCA,ITALIANA,s368544@studenti.polito.it,14BHDYI (8),INF1T3,Da frequentare (puÃ² sost. esami),,,,,,N,N,2026/27,ATTIVO,
370451,EL GOUMIRI,GABRIELE,ITALIANA,s357898@studenti.polito.it,14BHDOA (8),MTM1T1,Da frequentare (puÃ² sost. esami),,,,,,N,N,2026/27,ATTIVO,
357320,EL MANTARI,MARGHERITA,ITALIANA,s365677@studenti.polito.it,14BHDXT (8),INF1T3,Da frequentare (puÃ² sost. esami),,,,,,N,N,2025/26,ATTIVO,
326064,EL MEKAOUI,MICHELE,ITALIANA,s370380@studenti.polito.it,14BHDYE (8),MEC1T1,Da frequentare (puÃ² sost. esami),,,,,,N,N,2026/27,ATTIVO,
325397,EL MOURAFIQI,ANGELO PIO,ITALIANA,s356496@studenti.polito.it,14BHDMN (8),INF1T3,Da frequentare (puÃ² sost. esami),,,,,,N,N,2026/27,ATTIVO,
369347,EL OTMANY,JACOPO,ITALIANA,s371099@studenti.polito.it,14BHDMN (8),MTM1T1,Frequentato nel 2025/2026,,,,,,N,N,2026/27,ATTIVO,
372528,ELADAWI,EDOARDO,ITALIANA,s368712@studenti.polito.it,14BHDYO (8),MTM1T1,Da frequentare (puÃ² sost. esami),,,,,,N,N,2026/27,ATTIVO,
358393,ELBERMAWY,CHIARA,ITALIANA,s372598@studenti.polito.it,14BHDYI (8),INF1T3,Da frequentare (puÃ² sost. esami),,,,,,N,N,2026/27,ATTIVO,
342326,ELIA,MATTIA,ITALIANA,s370932@studenti.polito.it,14BHDYE (8),INF1T3,Da frequentare (puÃ² sost. esami),,,,,,N,N,2026/27,ATTIVO,
365258,ENNASSIRI,GIOIA,ITALIANA,s358040@studenti.polito.it,14BHDYE (8),CHI1T1,Da frequentare (puÃ² sost. esami),,,,,,N,N,2026/27,ATTIVO,
373494,ERBETTA,GIULIA,ITALIANA,s368651@studenti.polito.it,14BHDYE (8),MEC1T1,Da frequentare (puÃ² sost. esami),,,,,,N,N,2026/27,ATTIVO,
